广东,#genre#
广东珠江,http://113.67.164.10:8889/rtp/239.77.0.114:5146
广东珠江高清,http://www.zz49.top:4022/rtp/239.77.0.1:5146
广东珠江高清,http://www.zz49.top:4022/rtp/239.77.0.114:5146
广东珠江高清,http://59.38.63.68:2052/rtp/239.77.0.1:5146

广东珠江高清,http://183.0.214.34:4999/rtp/239.77.0.1:5146
广东珠江超清,http://183.0.214.34:4999/rtp/239.77.0.114:5146
广东新闻,http://183.0.214.34:4999/rtp/239.77.0.173:5146



广东珠江v6,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010091/index.m3u8
广东珠江,http://www.recker.cc:4022/rtp/239.77.0.1:5146
广东珠江,http://14.29.76.30:9901/tsfile/live/1003_1.m3u8

广东新闻,http://113.67.164.10:8889/rtp/239.77.0.173:5146
广州新闻高清,http://113.67.164.10:8889/rtp/239.253.43.72:5146
广州新闻高清,http://59.38.63.68:2052/rtp/239.253.43.72:5146
广州新闻高清,http://183.0.214.34:4999/rtp/239.253.43.72:5146
广州新闻高清,http://www.zz49.top:4022/rtp/239.253.43.72:5146



汕头综合,http://183.0.214.34:4999/rtp/239.77.1.130:5146
汕头综合,http://183.0.214.34:4999/rtp/239.253.43.45:5146
汕头综合,http://113.118.193.102:5000/rtp/239.253.43.45:5146
汕头综合,http://113.67.164.10:8889/rtp/239.77.1.130:5146
汕头综合,http://113.67.164.10:8889/rtp/239.253.43.45:5146
汕头综合,http://www.zz49.top:4022/rtp/239.77.1.130:5146

汕头2,http://www.zz49.top:4022/rtp/239.77.1.131:5146
汕头2,http://www.zz49.top:4022/rtp/239.253.43.46:5146

揭阳综合,http://113.67.164.10:8889/rtp/239.77.0.229:5146
揭阳综合,http://a281451549.oicp.net:22222/udp/239.21.0.91:3704

广东经济,http://113.67.164.10:8889/rtp/239.77.0.85:5146
广东经济,http://113.67.164.10:8889/rtp/239.77.0.167:5146





广州综合,http://php.jdshipin.com:8880/gztv.php?id=zhonghe
广州综合,http://113.118.193.102:5000/rtp/239.253.43.71:5146
广州综合,http://113.67.164.10:8889/rtp/239.253.43.71:5146
广东民生,http://113.67.164.10:8889/rtp/239.77.0.225:5146
广东民生,http://www.zz49.top:4022/rtp/239.77.0.225:5146
广东民生,http://a281451549.oicp.net:22222/udp/239.21.0.86:3684
广东民生,http://183.0.214.34:4999/rtp/239.77.0.225:5146
